Date/Time,Address,Call Type,Description,Incident Number,Duration
6/24/2023 4:11,400 BLK 7TH ST S,Domestic,Domestic,2023-00015604,0:17:51
6/23/2023 16:58,1800 BLK BELSLY BLVD,Domestic,DOMESTIC,Multiple incidents,1:08:04
6/22/2023 17:15,1700 BLK 3RD AVE S,Domestic,Domestic,2023-00015475,1:09:49
6/22/2023 2:41,3300 BLK 3RD AVE N,Domestic,PHY DOMESTIC,2023-00015417,0:55:23
6/21/2023 22:05,1000 BLK 20TH ST S,Domestic,DOMESTIC,2023-00015402,0:31:49
6/21/2023 12:07,1700 BLK 3RD AVE S,Domestic,Domestic,Multiple incidents,1:59:57
6/21/2023 0:11,1800 BLK BELSLY BLVD,Domestic,PHY DOMESTIC,2023-00015300,0:27:01
6/20/2023 0:32,900 BLK 10TH AVE S,Domestic,Domestic,2023-00015187,0:35:54
6/19/2023 0:02,200 BLK 16TH ST S,Domestic,SOUNDS OF DOMESTIC,2023-00015104,0:39:48
6/18/2023 19:17,1100 BLK 18TH ST S,Domestic,DOMESTIC,Multiple incidents,1:05:53
6/18/2023 17:57,3000 BLK 18TH ST S,Domestic,Domestic,2023-00015072,0:48:56
6/18/2023 11:27,800 BLK 2ND AVE N,Domestic,DOMESTIC,2023-00015051,0:14:39
6/17/2023 0:26,2400 BLK 36TH ST S,Domestic,Domestic,2023-00014935,0:35:18
6/16/2023 23:45,1200 BLK BELSLY BLVD,Domestic,Domestic,2023-00014932,0:32:33
6/16/2023 22:26,800 BLK 37TH AVE S,Domestic,DOMESTIC,2023-00014928,0:17:08
6/16/2023 21:37,3500 BLK 8TH AVE S,Domestic,DOMESTIC,2023-00014924,0:28:29
6/16/2023 0:09,1100 BLK 19TH ST S,Domestic,Domestic,2023-00014831,0:31:52
6/15/2023 20:57,3000 BLK 18TH ST S,Domestic,Domestic,2023-00014818,0:17:51
6/12/2023 6:32,1000 BLK 10TH ST S,Domestic,Domestic,Multiple incidents,0:18:25
6/12/2023 5:43,1100 BLK 19TH ST S,Domestic,DOMESTIC,Multiple incidents,1:27:12
6/11/2023 21:01,3600 BLK 8TH ST S,Domestic,DOMESTIC,2023-00014404,0:50:23
6/9/2023 16:02,800 BLK 37TH AVE S,Domestic,DOMESTIC,2023-00014246,0:33:54
6/6/2023 22:34,3200 BLK 20TH ST S,Domestic,Domestic,2023-00014013,0:27:57
6/5/2023 23:34,MAIN AVE,Domestic,VERB DOMESTIC,2023-00013934,0:18:57
6/3/2023 23:49,500 BLK 30TH AVE S,Domestic,PHSYCIAL DOMESTIC,Multiple incidents,1:35:13
6/3/2023 14:44,700 BLK 11TH ST N,Domestic,DOMESTIC,2023-00013693,0:17:49
6/1/2023 14:35,1000 BLK 32ND AVE S,Domestic,Domestic,2023-00013481,0:35:09
5/31/2023 23:36,3000 BLK 18TH ST S,Domestic,Domestic,2023-00013423,0:32:36
5/31/2023 14:53,1300 BLK 19 1/2 ST S,Domestic,DOMESTIC,2023-00013370,0:46:54
5/30/2023 23:13,900 BLK 24TH AVE S,Domestic,DOMESTIC,2023-00013313,0:15:16
5/30/2023 15:18,300 BLK 5TH AVE S,Domestic,DOMESTIC,2023-00013278,0:32:50
5/30/2023 11:49,1700 BLK 3RD AVE S,Domestic,DOMESTIC,2023-00013257,0:39:21
5/27/2023 21:20,900 BLK 11TH ST N,Domestic,Domestic,2023-00013071,0:40:16
5/27/2023 2:25,1900 BLK 5TH AVE S,Domestic,Domestic,2023-00013011,0:25:40
5/26/2023 0:57,3000 BLK 20TH ST S,Domestic,DOMESTIC,2023-00012907,0:11:31
